MEASURE,Unit,COUNTRY,Country,PRODUCT,Product,FLOW,Flow,TIME,Time,Value,Flag Codes,Flags
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2014,2014,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2015,2015,-43.1,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2015,2015,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2016,2016,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2017,2017,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2017,2017,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2017,2017,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2017,2017,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2017,2017,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2017,2017,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2017,2017,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2017,2017,0,,
