"MEASURE","Unit","COUNTRY","Country","PRODUCT","Product","FLOW","Flow","TIME","Time","Value","Flag Codes","Flags"
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2000","2000",0,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2001","2001",0,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2002","2002",23,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2003","2003",24,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2004","2004",0,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2005","2005",7,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2006","2006",15,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2007","2007",157,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2008","2008",278,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2009","2009",113,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2010","2010",41,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2011","2011",1928,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2012","2012",582,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2013","2013",1646,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2014","2014",1263,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2015","2015",2493,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2016","2016",2529,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2017","2017",3101.79,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2018","2018",3606.65,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2019","2019",4520.77,,
"TJ","TJ","EU28","Memo: European Union-28","INDWASTE","Industrial waste","IMPORTS","Imports","2020","2020",4637.15,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2000","2000",0,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2001","2001",0,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2002","2002",9,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2003","2003",16,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2004","2004",13,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2005","2005",136,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2006","2006",232,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2007","2007",719,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2008","2008",163,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2009","2009",820,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2010","2010",1473,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2011","2011",4347,,
"TJ","TJ","EU28","Memo: European Union-28","MUNWASTER","Municipal waste (renewable)","IMPORTS","Imports","2012","2012",9097,,
