,share,sector,year,,,,,,,,,,,,
433,0.013795813,transport,2050,,,,,,,,,,,,
434,0.01243417,transport,2050,,,,,,,,,,,,
435,0.012336723,transport,2050,,,,,,,,,,,,
436,0.012179621,transport,2050,,,,,,,,,,,,
437,0.000591825,transport,2050,,,,,,,,,,,,
438,0.000590948,transport,2050,,,,,,,,,,,,
439,0.00072805,transport,2050,,,,,,,,,,,,
440,0.000656191,transport,2050,,,,,,,,,,,,
441,0.000651049,transport,2050,,,,,,,,,,,,
442,0.000642758,transport,2050,,,,,,,,,,,,
443,0.049609364,transport,2050,,,,,,,,,,,,
444,0.048406234,transport,2050,,,,,,,,,,,,
445,0.069411919,transport,2050,,,,,,,,,,,,
446,0.055723194,transport,2050,,,,,,,,,,,,
447,0.001533564,transport,2050,,,,,,,,,,,,
448,0.001496372,transport,2050,,,,,,,,,,,,
449,0.002145717,transport,2050,,,,,,,,,,,,
450,0.00172256,transport,2050,,,,,,,,,,,,
451,0.075304892,transport,2050,,,,,,,,,,,,
452,0.073478592,transport,2050,,,,,,,,,,,,
453,0.105364325,transport,2050,,,,,,,,,,,,
454,0.084585425,transport,2050,,,,,,,,,,,,
455,0.02470774,transport,2050,,,,,,,,,,,,
456,0.026869751,transport,2050,,,,,,,,,,,,
457,0.03910781,transport,2050,,,,,,,,,,,,
458,0.030623776,transport,2050,,,,,,,,,,,,
459,0.028199527,transport,2050,,,,,,,,,,,,
460,0.032528116,transport,2050,,,,,,,,,,,,
461,0.038610593,transport,2050,,,,,,,,,,,,
462,0.041989152,transport,2050,,,,,,,,,,,,
463,0.06111347,transport,2050,,,,,,,,,,,,
464,0.047855538,transport,2050,,,,,,,,,,,,
465,0.044067181,transport,2050,,,,,,,,,,,,
466,0.050831435,transport,2050,,,,,,,,,,,,
467,0.00043973,transport,2050,,,,,,,,,,,,
468,0.000478208,transport,2050,,,,,,,,,,,,
469,0.000696011,transport,2050,,,,,,,,,,,,
470,0.000545019,transport,2050,,,,,,,,,,,,
471,0.000501874,transport,2050,,,,,,,,,,,,
472,0.000578911,transport,2050,,,,,,,,,,,,
473,0.051040108,transport,2050,,,,,,,,,,,,
474,0.055506291,transport,2050,,,,,,,,,,,,
475,0.080787107,transport,2050,,,,,,,,,,,,
476,0.063261183,transport,2050,,,,,,,,,,,,
477,0.058253279,transport,2050,,,,,,,,,,,,
478,0.06719508,transport,2050,,,,,,,,,,,,
479,0.000359038,transport,2050,,,,,,,,,,,,
480,0.000390455,transport,2050,,,,,,,,,,,,
481,0.000568291,transport,2050,,,,,,,,,,,,
482,0.000445006,transport,2050,,,,,,,,,,,,
483,0.000409778,transport,2050,,,,,,,,,,,,
484,0.000472679,transport,2050,,,,,,,,,,,,
485,0.016782038,transport,2050,,,,,,,,,,,,
486,0.018831788,transport,2050,,,,,,,,,,,,
487,0.024113111,transport,2050,,,,,,,,,,,,
488,0.019684455,transport,2050,,,,,,,,,,,,
489,0.017988912,transport,2050,,,,,,,,,,,,
490,0.021415916,transport,2050,,,,,,,,,,,,
491,0.055578365,transport,2050,,,,,,,,,,,,
492,0.06236668,transport,2050,,,,,,,,,,,,
493,0.079857243,transport,2050,,,,,,,,,,,,
494,0.06519052,transport,2050,,,,,,,,,,,,
495,0.059575262,transport,2050,,,,,,,,,,,,
496,0.070924733,transport,2050,,,,,,,,,,,,
497,0.0003914,transport,2050,,,,,,,,,,,,
498,0.000439206,transport,2050,,,,,,,,,,,,
499,0.00056238,transport,2050,,,,,,,,,,,,
500,0.000459092,transport,2050,,,,,,,,,,,,
501,0.000419548,transport,2050,,,,,,,,,,,,
502,0.000499474,transport,2050,,,,,,,,,,,,
